Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Region,City,Category,Sub-Category,Sales,Quantity,Discount,Profit,Order Month,Profit Margin
ORD-14606,2023-09-28,2023-09-29,Second Class,Riya Verma,Consumer,North,Lucknow,Furniture,Chairs,6677.54,1,0.0,1083.31,2023-09,0.162
ORD-19277,2023-10-13,2023-10-18,Second Class,Isha Reddy,Home Office,South,Hyderabad,Office Supplies,Labels,5515.15,8,0.0,720.24,2023-10,0.131
ORD-15290,2024-11-09,2024-11-15,Express,Riya Gupta,Home Office,North,Delhi,Furniture,Chairs,3032.97,1,0.4,2.42,2024-11,0.001
ORD-13423,2023-06-24,2023-06-27,Same Day,Rohan Nair,Corporate,West,Pune,Office Supplies,Envelopes,3830.95,7,0.0,290.0,2023-06,0.076
ORD-13282,2024-11-24,2024-11-27,Standard,Ananya Sharma,Corporate,West,Ahmedabad,Office Supplies,Art,1294.62,2,0.0,135.6,2024-11,0.105
ORD-10580,2024-07-24,2024-07-25,Standard,Krishna Joshi,Consumer,West,Surat,Electronics,Copiers,24512.26,1,0.2,3290.6,2024-07,0.134
ORD-15409,2023-05-15,2023-05-20,Same Day,Kiara Iyer,Corporate,North,Lucknow,Electronics,Copiers,105837.73,3,0.2,12133.71,2023-05,0.115
ORD-10942,2023-08-16,2023-08-20,Standard,Rohan Rao,Corporate,East,Patna,Office Supplies,Art,1969.6,5,0.4,347.9,2023-08,0.177
ORD-17957,2023-09-10,2023-09-13,Express,Ananya Singh,Consumer,North,Chandigarh,Electronics,Machines,21416.67,3,0.0,2828.85,2023-09,0.132
ORD-15924,2023-06-04,2023-06-05,Second Class,Aarav Bose,Home Office,West,Pune,Office Supplies,Labels,8902.22,4,0.3,1388.52,2023-06,0.156
ORD-17171,2023-11-11,2023-11-15,Standard,Reyansh Patel,Home Office,South,Bengaluru,Office Supplies,Labels,4041.21,8,0.0,1402.88,2023-11,0.347
ORD-17534,2023-08-25,2023-08-26,Express,Ananya Bose,Corporate,South,Kochi,Furniture,Bookcases,91311.2,4,0.1,17612.16,2023-08,0.193
ORD-18963,2024-02-17,2024-02-24,Same Day,Vivaan Joshi,Corporate,West,Pune,Office Supplies,Binders,8772.77,3,0.0,2753.03,2024-02,0.314
ORD-12130,2023-11-12,2023-11-17,Standard,Vivaan Desai,Consumer,East,Kolkata,Electronics,Machines,46844.96,7,0.0,2713.35,2023-11,0.058
ORD-11222,2024-08-10,2024-08-17,Same Day,Krishna Pillai,Home Office,West,Pune,Furniture,Tables,10478.46,5,0.4,-214.65,2024-08,-0.02
ORD-10425,2023-01-27,2023-02-03,Express,Isha Rao,Consumer,East,Bhubaneswar,Furniture,Chairs,120984.1,5,0.1,9604.6,2023-01,0.079
ORD-13440,2024-04-14,2024-04-21,Same Day,Diya Chatterjee,Consumer,East,Guwahati,Electronics,Copiers,16233.66,6,0.0,3625.25,2024-04,0.223
ORD-10101,2024-01-14,2024-01-17,Express,Vivaan Nair,Corporate,South,Kochi,Office Supplies,Labels,16150.76,6,0.0,860.05,2024-01,0.053
ORD-19396,2024-02-06,2024-02-12,Express,Sanjay Singh,Consumer,West,Pune,Office Supplies,Art,8807.69,7,0.2,2315.62,2024-02,0.263
ORD-12889,2024-02-25,2024-02-27,Standard,Myra Sharma,Corporate,South,Kochi,Furniture,Bookcases,130391.2,6,0.3,18341.4,2024-02,0.141
ORD-11961,2024-04-16,2024-04-21,Same Day,Reyansh Kulkarni,Corporate,South,Hyderabad,Furniture,Storage,145511.05,7,0.1,27975.58,2024-04,0.192
ORD-15362,2023-12-04,2023-12-10,Same Day,Aditya Menon,Home Office,West,Ahmedabad,Furniture,Storage,153586.05,7,0.15,48201.47,2023-12,0.314
ORD-15383,2023-10-25,2023-11-01,Standard,Ananya Joshi,Consumer,East,Bhubaneswar,Electronics,Machines,4868.93,1,0.0,925.27,2023-10,0.19
ORD-18398,2023-04-26,2023-05-01,Same Day,Meera Chatterjee,Home Office,South,Bengaluru,Furniture,Chairs,30954.31,3,0.0,8666.59,2023-04,0.28
ORD-11987,2023-06-02,2023-06-05,Express,Ishaan Pillai,Corporate,North,Lucknow,Electronics,Machines,76066.69,2,0.0,5246.99,2023-06,0.069
ORD-18165,2024-09-24,2024-09-30,Standard,Myra Rao,Corporate,West,Ahmedabad,Furniture,Storage,69185.9,4,0.4,851.54,2024-09,0.012
ORD-16887,2024-02-12,2024-02-19,Standard,Ananya Patel,Home Office,West,Pune,Electronics,Copiers,115290.31,4,0.1,20192.67,2024-02,0.175
ORD-18625,2023-07-17,2023-07-23,Express,Reyansh Rao,Home Office,North,Jaipur,Furniture,Bookcases,59303.64,7,0.0,16841.82,2023-07,0.284
ORD-17391,2023-11-10,2023-11-13,Standard,Ishaan Gupta,Home Office,North,Lucknow,Furniture,Bookcases,68055.01,3,0.0,14924.25,2023-11,0.219
ORD-18137,2023-07-03,2023-07-08,Second Class,Aditya Iyer,Home Office,West,Ahmedabad,Office Supplies,Paper,13469.81,6,0.15,4598.32,2023-07,0.341
ORD-14328,2023-04-11,2023-04-14,Express,Krishna Joshi,Home Office,North,Chandigarh,Furniture,Chairs,118578.56,6,0.0,38845.53,2023-04,0.328
ORD-10069,2023-04-27,2023-05-01,Express,Anika Singh,Consumer,East,Kolkata,Electronics,Machines,56455.38,2,0.0,9526.16,2023-04,0.169
ORD-13120,2023-09-01,2023-09-06,Standard,Neha Kulkarni,Corporate,East,Patna,Office Supplies,Labels,17966.75,7,0.2,-854.04,2023-09,-0.048
ORD-14697,2024-07-03,2024-07-10,Same Day,Sanjay Nair,Consumer,North,Jaipur,Electronics,Phones,95982.4,4,0.0,27179.2,2024-07,0.283
ORD-14360,2024-11-01,2024-11-07,Same Day,Saanvi Singh,Consumer,East,Kolkata,Electronics,Copiers,143644.67,4,0.0,-3725.92,2024-11,-0.026
ORD-16385,2023-03-18,2023-03-23,Second Class,Aarav Verma,Corporate,North,Delhi,Office Supplies,Paper,16690.12,8,0.0,3773.36,2023-03,0.226
ORD-10922,2023-05-27,2023-05-28,Express,Kiara Menon,Corporate,West,Ahmedabad,Office Supplies,Labels,426.03,4,0.3,80.41,2023-05,0.189
ORD-15143,2024-12-24,2024-12-31,Second Class,Saanvi Singh,Home Office,East,Guwahati,Furniture,Chairs,10836.56,6,0.0,1872.8,2024-12,0.173
ORD-12953,2024-05-15,2024-05-20,Express,Neha Patel,Corporate,East,Patna,Office Supplies,Binders,3161.6,6,0.1,259.64,2024-05,0.082
ORD-11404,2023-02-28,2023-03-05,Express,Riya Bose,Corporate,North,Lucknow,Furniture,Storage,88449.32,4,0.0,9530.23,2023-02,0.108
