Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Region,City,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-14606,28/09/2023,2023-09-29,Second Class,Riya Verma,Consumer,North,Lucknow,Furniture,Chairs,6677.54,1,0.0,1083.31
ORD-19277,13/10/2023,2023-10-18,Second Class,Isha Reddy,Home Office,South,Hyderabad,Office Supplies,Labels,5515.15,8,0.0,720.24
ORD-15290,09/11/2024,2024-11-15,Express,Riya Gupta,Home Office,North,Delhi,Furniture,Chairs,3032.97,1,0.4,2.42
ORD-13423,24/06/2023,2023-06-27,Same Day,Rohan Nair,Corporate,West,Pune,Office Supplies,Envelopes,3830.95,7,0.0,290.0
ORD-13282,2024-11-24,2024-11-27,Standard,Ananya Sharma,Corporate,West,Ahmedabad,Office Supplies,Art,1294.62,2,0.0,135.6
ORD-10580,24/07/2024,2024-07-25,Standard,Krishna Joshi,Consumer,West,Surat,Electronics,Copiers,24512.26,1,0.2,3290.6
ORD-15409,15/05/2023,2023-05-20,Same Day,Kiara Iyer,Corporate,North,Lucknow,Electronics,Copiers,105837.73,3,0.2,12133.71
ORD-10942,2023-08-16,2023-08-20,Standard,Rohan Rao,Corporate,East,Patna,Office Supplies,Art,1969.6,5,0.4,347.9
ORD-17957,2023-09-10,2023-09-13,Express,Ananya Singh,Consumer,North,Chandigarh,Electronics,Machines,21416.67,3,0.0,2828.85
ORD-15924,2023-06-04,2023-06-05,Second Class,Aarav Bose,Home Office,West,Pune,Office Supplies,Labels,8902.22,4,0.3,1388.52
ORD-17171,2023-11-11,2023-11-15,Standard,Reyansh Patel,Home Office,South,Bengaluru,Office Supplies,Labels,4041.21,8,0.0,1402.88
ORD-17534,2023-08-25,2023-08-26,Express,Ananya Bose,Corporate,South,Kochi,Furniture,Bookcases,91311.2,4,0.1,17612.16
ORD-18963,17/02/2024,2024-02-24,Same Day,Vivaan Joshi,Corporate,West,Pune,Office Supplies,Binders,8772.77,3,0.0,2753.03
ORD-12130,12/11/2023,2023-11-17,Standard,Vivaan Desai,Consumer,East,Kolkata,Electronics,Machines,46844.96,7,0.0,2713.35
ORD-11222,2024-08-10,2024-08-17,Same Day,Krishna Pillai,Home Office,West,Pune,Furniture,Tables,10478.46,5,0.4,-214.65
ORD-10425,2023-01-27,2023-02-03,Express,Isha Rao,Consumer,East,Bhubaneswar,Furniture,Chairs,120984.1,5,0.1,9604.6
ORD-13440,14/04/2024,2024-04-21,Same Day,Diya Chatterjee,Consumer,East,Guwahati,Electronics,Copiers,16233.66,6,0.0,3625.25
ORD-10101,2024-01-14,2024-01-17,Express,Vivaan Nair,Corporate,South,Kochi,Office Supplies,Labels,16150.76,6,0.0,860.05
ORD-19396,2024-02-06,2024-02-12,Express,Sanjay Singh,Consumer,West,Pune,Office Supplies,Art,8807.69,7,0.2,2315.62
ORD-12889,2024-02-25,2024-02-27,Standard,Myra Sharma,Corporate,South,Kochi,Furniture,Bookcases,130391.2,6,0.3,18341.4
ORD-11961,2024-04-16,2024-04-21,Same Day,Reyansh Kulkarni,Corporate,South,Hyderabad,Furniture,Storage,145511.05,7,0.1,27975.58
ORD-15362,04/12/2023,2023-12-10,Same Day,Aditya Menon,Home Office,West,Ahmedabad,Furniture,Storage,153586.05,7,0.15,48201.47
ORD-15383,25/10/2023,2023-11-01,Standard,Ananya Joshi,Consumer,East,Bhubaneswar,Electronics,Machines,4868.93,1,0.0,925.27
ORD-18398,2023-04-26,2023-05-01,Same Day,Meera Chatterjee,Home Office,South,Bengaluru,Furniture,Chairs,30954.31,3,0.0,8666.59
